number,Country,Energy_type,Year,Energy_consumption,Energy_production,GDP,Population,Energy_intensity_per_capita,Energy_intensity_by_GDP,CO2_emission
54849,Mauritius,petroleum_n_other_liquids,2019,0.0774881447,0,27.95627,1269.345,79.44788918932356,3.607304583301775,5.203951
54851,Mauritius,renewables_n_other,2019,0.006268416,0.006268416,27.95627,1269.345,79.44788918932356,3.607304583301775,0
54852,Mexico,all_energy_types,2019,7.986493522100019,5.90985687062291,2384.142,127745.8,62.51863875055006,3.3498397000262643,456.148338455
54853,Mexico,coal,2019,0.416172748216496,0.20790790495399664,2384.142,127745.8,62.51863875055006,3.3498397000262643,45.10950814993315
54854,Mexico,natural_gas,2019,3.0191908292814205,0.985764215324326,2384.142,127745.8,62.51863875055006,3.3498397000262643,154.494922077
54855,Mexico,petroleum_n_other_liquids,2019,3.79416784635843,3.994545990784587,2384.142,127745.8,62.51863875055006,3.3498397000262643,256.543908228
54856,Mexico,nuclear,2019,0.109517265,0.109517265,2384.142,127745.8,62.51863875055006,3.3498397000262643,0
54857,Mexico,renewables_n_other,2019,0.647444833243672,0.61212149456,2384.142,127745.8,62.51863875055006,3.3498397000262643,0
54864,Moldova,all_energy_types,2019,0.1431171422216672,0.003341193385614,30.9415,3542.7,40.39775939866971,4.6254106045817815,7.975804163
54865,Moldova,coal,2019,0.00367537955824098,0,30.9415,3542.7,40.39775939866971,4.6254106045817815,0.33137624680161315
54866,Moldova,natural_gas,2019,0.0899599300164,2.282425614e-6,30.9415,3542.7,40.39775939866971,4.6254106045817815,4.666478916
54867,Moldova,petroleum_n_other_liquids,2019,0.0439452183,0,30.9415,3542.7,40.39775939866971,4.6254106045817815,2.977949
54869,Moldova,renewables_n_other,2019,0.0055366143470262,0.00333891096,30.9415,3542.7,40.39775939866971,4.6254106045817815,0
54870,Mongolia,all_energy_types,2019,0.2678326524908135,1.4843864689034518,39.254,3223.46,83.08856089134456,6.82306650254276,20.901836824
54871,Mongolia,coal,2019,0.182806972664025,1.4381251585134518,39.254,3223.46,83.08856089134456,6.82306650254276,16.690452823824575
54872,Mongolia,natural_gas,2019,0,0,39.254,3223.46,83.08856089134456,6.82306650254276,0
54873,Mongolia,petroleum_n_other_liquids,2019,0.0734107617,0.04050042239,39.254,3223.46,83.08856089134456,6.82306650254276,4.211384
54875,Mongolia,renewables_n_other,2019,0.01161491812678848,0.005760888,39.254,3223.46,83.08856089134456,6.82306650254276,0
54876,Montenegro,all_energy_types,2019,0.04853441755334656,0.033207896439284,11.9806,627.896,77.29690514567152,4.051084048657543,2.524134994
54877,Montenegro,coal,2019,0.01371046505334656,0.014749904439284,11.9806,627.896,77.29690514567152,4.051084048657543,1.402951993740879
54878,Montenegro,natural_gas,2019,0,0,11.9806,627.896,77.29690514567152,4.051084048657543,0
